Month,Q,Z
JAN,-12,-0.114364311704297
FEB,-142,-1.4862154562815535
MAR,43,0.4513694273668759
APR,-20,-0.19740326329430338
MAY,152,1.5878617158313952
JUN,387,3.909909222682976
JUL,142,1.4262568952476526
AUG,83,0.8295250979397116
SEP,252,2.540152766149891
OCT,14,0.13390444480864158
NOV,5,0.04558521728754879
DEC,73,0.9319265978513964
