Month,Q,Z
JAN,69,0.6897128757924671
FEB,1,0.0
MAR,36,0.3549201712544033
APR,47,0.4680979250023754
MAY,62,0.6205993292482905
JUN,244,2.470604522507871
JUL,170,1.712173545816019
AUG,102,1.0232516457243663
SEP,185,1.8643010807429075
OCT,191,1.9388091563581076
NOV,180,1.8379851354846313
DEC,133,1.3399576681370466
